tag,paradigm,n_units,n_qc
830795_2026-02-26-16-01-33,duration,2225,1011
820459_2025-11-10-15-07-13,sensorimotor,4346,2322
830849_2026-03-07-09-48-16,sensorimotor,2287,1174
830794_2026-01-28-11-01-44,sequence,2951,1833
830852_2026-02-23-10-31-02,sensorimotor,3622,1775
830851_2026-03-17-10-46-04,standard_oddball,3122,1554
830848_2026-03-05-16-07-50,sensorimotor,2570,1478
830848_2026-03-04-15-34-54,standard_oddball,3117,1604
830846_2026-03-12-11-09-13,sensorimotor,2943,1487
830846_2026-03-09-10-32-54,sequence,3550,1925
834691_2026-02-16-11-02-15,sensorimotor,4234,2434
834691_2026-02-17-10-49-35,standard_oddball,2971,1299
830795_2026-02-24-15-08-59,standard_oddball,2814,1310
830852_2026-02-26-10-49-56,duration,2612,1335
830794_2026-01-27-11-25-31,standard_oddball,3018,1799
830849_2026-03-04-10-14-36,sequence,2383,1304
830848_2026-03-02-15-05-26,sequence,3709,2105
830794_2026-01-29-11-12-57,duration,3125,1761
830848_2026-03-03-14-02-09,duration,3378,1714
830851_2026-03-16-10-18-07,sensorimotor,3598,1661
830852_2026-02-25-10-32-11,sequence,2766,1342
830851_2026-03-19-10-49-11,duration,2839,1327
830851_2026-03-18-10-24-59,sequence,3182,1680
830846_2026-03-11-10-19-32,standard_oddball,3355,1805
830847_2026-03-10-16-32-25,duration,3591,2077
830847_2026-03-11-15-46-40,standard_oddball,3518,1992
830794_2026-01-26-12-02-05,sensorimotor,3966,2725
830849_2026-03-06-10-51-58,standard_oddball,2902,1681
830795_2026-02-25-16-03-31,sequence,2314,1014
830852_2026-02-24-10-20-58,standard_oddball,2845,1519
